#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0     42.7839254722135                2.071                    0                    0                  270
                   0                    0     0.90003310983034                    0                    0                  270
    89.0955330444377     5.89556290106483     0.90003310983034                    0                    0                  270
      108.7947253179     7.17883260532268      8.8790861371707                    0     1.92623808965201                  270
      51.87627054959     1.08968892720126     6.40686161298714                    0                    0                  270
     10.595547099926     2.99601616289297      3.7431776901577                    0                    0                  270
    30.1784910086909     11.0735358754635      4.0287474046436                    0                    0                  270
    28.5746791763009     8.78774628098616     4.30628292318766                    0                    0                  270
     27.610564661753     10.9996638227346     4.29008665355939                    0                    0                  270
     219.13538282637     48.7421204958628     4.43362317470045                    0                    0                  270
    5.51006210755145      9.2410200081359     4.89256710686016                    0                    0                  270
                   0                    0                    0                    0                    0                  270
