#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0     49.9972253586853                2.148                    0                    0                  270
                   0                    0     1.40537394790661                    0                    0                  270
    44.9978242646878     4.82855963643218     1.40537394790661                    0                    0                  270
    108.967056919318     8.25905019089076       9.177667316614                    0     1.89742240712646                  270
    47.9191382160706    0.157278031984959     6.52635780555227                    0                    0                  270
                   1                    0     5.73936984224215                    0                    0                  270
                   1                    0     3.36196985011744                    0                    0                  270
                   1                    0     3.35431170889153                    0                    0                  270
                   1                    0     3.35261905630035                    0                    0                  270
                   1                    0      3.3511448059291                    0                    0                  270
                   1                    0     3.34988149705716                    0                    0                  270
                   1                    0     3.34882166896388                    0                    0                  270
                   1                    0     3.34795786092862                    0                    0                  270
                   1                    0     3.34728261223075                    0                    0                  270
                   1                    0     3.34678846214963                    0                    0                  270
                   1                    0     3.34646794996461                    0                    0                  270
                   1                    0     3.34631361495507                    0                    0                  270
                   1                    0     3.34631799640036                    0                    0                  270
                   1                    0     3.34647363357984                    0                    0                  270
                   1                    0     3.34677306577289                    0                    0                  270
                   1                    0     3.34720883225885                    0                    0                  270
                   1                    0     3.34777347231709                    0                    0                  270
                   1                    0     3.34845952522697                    0                    0                  270
                   1                    0     3.34925953026786                    0                    0                  270
                   1                    0     3.35016602671911                    0                    0                  270
                   1                    0      3.3511715538601                    0                    0                  270
                   1                    0     3.35226865097017                    0                    0                  270
                   1                    0     3.35344985732869                    0                    0                  270
                   1                    0     3.35470771221503                    0                    0                  270
                   1                    0     3.35603475490854                    0                    0                  270
                   1                    0     3.35742352468859                    0                    0                  270
                   1                    0     3.35886656083454                    0                    0                  270
                   1                    0     3.36035640262575                    0                    0                  270
                   1                    0     3.36188558934158                    0                    0                  270
                   1                    0     3.36344666026139                    0                    0                  270
                   1                    0     3.36503215466455                    0                    0                  270
                   1                    0     3.36663461183042                    0                    0                  270
                   1                    0     3.36824657103836                    0                    0                  270
                   1                    0     3.36986057156774                    0                    0                  270
                   1                    0      3.3714691526979                    0                    0                  270
                   1                    0     3.37306485370822                    0                    0                  270
                   1                    0     3.37464021387806                    0                    0                  270
                   1                    0     3.37618777248678                    0                    0                  270
                   1                    0     3.37770006881374                    0                    0                  270
                   1                    0      3.3791696421383                    0                    0                  270
                   1                    0     3.38058903173982                    0                    0                  270
                   1                    0     3.38195077689767                    0                    0                  270
                   1                    0     3.38324741689121                    0                    0                  270
                   1                    0      3.3844714909998                    0                    0                  270
                   1                    0     3.38561553850281                    0                    0                  270
                   1                    0     3.38667209867958                    0                    0                  270
                   1                    0     3.38763371080949                    0                    0                  270
                   1                    0      3.3884929141719                    0                    0                  270
                   1                    0     3.38924224804617                    0                    0                  270
                   1                    0     3.38987425171166                    0                    0                  270
                   1                    0     3.39038146444773                    0                    0                  270
                   1                    0     3.39075642553375                    0                    0                  270
                   1                    0     3.39099167424907                    0                    0                  270
                   1                    0     3.39221113979581                    0                    0                  270
                   1                    0     3.41719151697035                    0                    0                  270
                   1                    0     3.46690818718973                    0                    0                  270
                   1                    0     3.53077068420829                    0                    0                  270
                   1                    0     3.59818854178037                    0                    0                  270
                   1                    0      3.6585712936603                    0                    0                  270
                   1                    0     3.70161044315251                    0                    0                  270
                   1                    0     3.72536686960805                    0                    0                  270
                   1                    0      3.7111417643588                    0                    0                  270
                   1                    0     3.67175488455304                    0                    0                  270
                   1                    0     3.61864314671258                    0                    0                  270
                   1                    0     3.56188441687953                    0                    0                  270
                   1                    0     3.51155656109597                    0                    0                  270
                   1                    0     3.47773744540401                    0                    0                  270
                   1                    0     3.46749054197242                    0                    0                  270
                   1                    0     3.46865433097163                    0                    0                  270
                   1                    0     3.47777217113605                    0                    0                  270
                   1                    0      3.4939590154498                    0                    0                  270
                   1                    0     3.51632981689701                    0                    0                  270
                   1                    0     3.54399952846178                    0                    0                  270
                   1                    0     3.57608310312823                    0                    0                  270
                   1                    0     3.61169549388047                    0                    0                  270
                   1                    0     3.64995165370262                    0                    0                  270
                   1                    0     3.68996653557879                    0                    0                  270
                   1                    0      3.7308550924931                    0                    0                  270
                   1                    0     3.77173227742966                    0                    0                  270
                   1                    0     3.81171304337257                    0                    0                  270
                   1                    0     3.84991234330597                    0                    0                  270
                   1                    0     3.88544513021396                    0                    0                  270
                   1                    0     3.91742635708066                    0                    0                  270
                   1                    0     3.94497097689018                    0                    0                  270
                   1                    0     3.96719394262663                    0                    0                  270
                   1                    0     3.98321020727414                    0                    0                  270
                   1                    0      3.9921347238168                    0                    0                  270
   0.116235015605696                    0     3.99370397407109                    0                    0                  270
    200.097295044533     9.34883026073462     3.99371833758377                    0                    0                  270
                   0                    0                    0                    0                    0                  270
