#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0     49.4740239107238                2.148                    0                    0                  270
                   0                    0     3.01052993870643                    0                    0                  270
    25.8566694968915     3.43536022952878     3.01052993870643                    0                    0                  270
    106.920851183906     9.93507965027705     9.40236712786953                    0     1.87758059708832                  270
    49.1944045170997     5.48147883750025     6.26024689778995                    0                    0                  270
                   1                    0     6.16465418025982                    0                    0                  270
                   1                    0     5.50938879583513                    0                    0                  270
                   1                    0     4.47863093629441                    0                    0                  270
                   1                    0     3.36431755048145                    0                    0                  270
                   1                    0     2.45838558724008                    0                    0                  270
                   1                    0     2.03618287185685                    0                    0                  270
                   1                    0     2.05426460954932                    0                    0                  270
                   1                    0     2.31466771722979                    0                    0                  270
                   1                    0      2.6420108961921                    0                    0                  270
                   1                    0     2.86091284773013                    0                    0                  270
                   1                    0     2.89087070422756                    0                    0                  270
                   1                    0     2.90730051001601                    0                    0                  270
                   1                    0     2.92350728838371                    0                    0                  270
                   1                    0     2.93949256366694                    0                    0                  270
                   1                    0       2.955257860202                    0                    0                  270
                   1                    0      2.9708047023252                    0                    0                  270
                   1                    0     2.98613461437281                    0                    0                  270
                   1                    0     3.00124912068115                    0                    0                  270
                   1                    0     3.01614974558649                    0                    0                  270
                   1                    0     3.03083801342515                    0                    0                  270
                   1                    0     3.04531544853341                    0                    0                  270
                   1                    0     3.05958357524757                    0                    0                  270
                   1                    0     3.07364391790393                    0                    0                  270
                   1                    0     3.08749800083877                    0                    0                  270
                   1                    0      3.1011473483884                    0                    0                  270
                   1                    0     3.11459348488912                    0                    0                  270
                   1                    0      3.1278379346772                    0                    0                  270
                   1                    0     3.14088222208896                    0                    0                  270
                   1                    0     3.15372787146069                    0                    0                  270
                   1                    0     3.16637640712868                    0                    0                  270
                   1                    0     3.17882935342922                    0                    0                  270
                   1                    0     3.19108823469862                    0                    0                  270
                   1                    0     3.20315457527317                    0                    0                  270
                   1                    0     3.21502989948916                    0                    0                  270
                   1                    0     3.22671573168288                    0                    0                  270
                   1                    0     3.23821359619064                    0                    0                  270
                   1                    0     3.24952501734874                    0                    0                  270
                   1                    0     3.26065151949345                    0                    0                  270
                   1                    0     3.27159462696109                    0                    0                  270
                   1                    0     3.28235586408794                    0                    0                  270
                   1                    0      3.2929367552103                    0                    0                  270
                   1                    0     3.30333882466446                    0                    0                  270
                   1                    0     3.31356359678673                    0                    0                  270
                   1                    0     3.32361259591339                    0                    0                  270
                   1                    0     3.33348734638075                    0                    0                  270
                   1                    0     3.34318937252509                    0                    0                  270
                   1                    0     3.35272019868272                    0                    0                  270
                   1                    0     3.36208134918992                    0                    0                  270
                   1                    0     3.37127434838299                    0                    0                  270
                   1                    0     3.38030072059824                    0                    0                  270
                   1                    0     3.38916199017194                    0                    0                  270
                   1                    0     3.39785968144041                    0                    0                  270
                   1                    0     3.40639531873993                    0                    0                  270
                   1                    0      3.4147704264068                    0                    0                  270
