#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0     36.1718509827553                 2.07                    0                    0                  270
                   0                    0                3.475                    0                    0                  270
                35.1                3.559                3.475                    0                    0                  270
                 108                8.522                9.239                    0                1.942                  270
               48.25                    0                6.446                    0                    0                  270
                   1                    0     6.38268922717541   0.0218072277198242                    0                  270
                   1                    0     5.94423918265339    0.170976901031946                    0                  270
                   1                    0     5.24120922424468    0.404690979404093                    0                  270
                   1                    0     4.45502905348183    0.655514400312342                    0                  270
                   1                    0     3.76712837189736    0.856012101232766                    0                  270
                   1                    0      3.3589368810238     0.93874901964144                    0                  270
                   1                    0     3.29345638620479      0.7184243136474                    0                  270
                   1                    0     3.29001384939396    0.671537805098059                    0                  270
                   1                    0     3.28706574178123    0.653909002003523                    0                  270
                   1                    0     3.28458254588835      0.6365964290202                    0                  270
                   1                    0      3.2825572411403    0.619597181239909                    0                  270
                   1                    0     3.28098280696202    0.602908353754465                    0                  270
                   1                    0      3.2798522227785    0.586527041655687                    0                  270
                   1                    0     3.27915846801467     0.57045034003539                    0                  270
                   1                    0     3.27889452209552    0.554675343985391                    0                  270
                   1                    0     3.27905336444599    0.539199148597508                    0                  270
                   1                    0     3.27962797449106    0.524018848963558                    0                  270
                   1                    0     3.28061133165568    0.509131540175356                    0                  270
                   1                    0     3.28199641536482    0.494534317324721                    0                  270
                   1                    0     3.28377620504343    0.480224275503468                    0                  270
                   1                    0     3.28594368011648    0.466198509803416                    0                  270
                   1                    0     3.28849182000894     0.45245411531638                    0                  270
                   1                    0     3.29141360414576    0.438988187134177                    0                  270
                   1                    0      3.2947020119519    0.425797820348625                    0                  270
                   1                    0     3.29835002285233    0.412880110051541                    0                  270
                   1                    0     3.30235061627202     0.40023215133474                    0                  270
                   1                    0     3.30669677163591    0.387851039290041                    0                  270
                   1                    0     3.31138146836898    0.375733869009259                    0                  270
                   1                    0     3.31639768589618    0.363877735584213                    0                  270
                   1                    0     3.32173840364248    0.352279734106718                    0                  270
                   1                    0     3.32739660103284    0.340936959668591                    0                  270
                   1                    0     3.33336525749222     0.32984650736165                    0                  270
                   1                    0     3.33963735244558    0.319005472277711                    0                  270
                   1                    0     3.34620586531789    0.308410949508592                    0                  270
                   1                    0     3.35306377553411    0.298060034146108                    0                  270
                   1                    0     3.36020406251919    0.287949821282078                    0                  270
                   1                    0     3.36761970569811    0.278077406008317                    0                  270
                   1                    0     3.37530368449582    0.268439883416643                    0                  270
                   1                    0     3.38324897833729    0.259034348598872                    0                  270
                   1                    0     3.39144856664747    0.249857896646822                    0                  270
                   1                    0     3.39989542885133     0.24090762265231                    0                  270
                   1                    0     3.40858254437384    0.232180621707151                    0                  270
                   1                    0     3.41750289263994    0.223673988903163                    0                  270
                   1                    0     3.42664945307462    0.215384819332164                    0                  270
                   1                    0     3.43601520510282    0.207310208085969                    0                  270
                   1                    0      3.4455931281495    0.199447250256395                    0                  270
                   1                    0     3.45537620163964    0.191793040935261                    0                  270
                   1                    0      3.4653574049982    0.184344675214381                    0                  270
                   1                    0     3.47552971765012    0.177099248185575                    0                  270
                   1                    0     3.48588611902039    0.170053854940657                    0                  270
                   1                    0     3.49641958853395    0.163205590571445                    0                  270
                   1                    0     3.50712310561577    0.156551550169756                    0                  270
                   1                    0     3.51798964969082    0.150088828827407                    0                  270
                   1                    0     3.52901220018405    0.143814521636215                    0                  270
                   1                    0     3.54018373652043    0.137725723687996                    0                  270
                   1                    0     3.55149723812492    0.131819530074567                    0                  270
                   1                    0     3.56294568442248    0.126093035887746                    0                  270
                   1                    0     3.57452205483807    0.120543336219349                    0                  270
                   1                    0     3.58621932879666    0.115167526161193                    0                  270
                   1                    0      3.5980304857232    0.109962700805095                    0                  270
                   1                    0     3.60994850504266    0.104925955242872                    0                  270
                   1                    0     3.62196636618001     0.10005438456634                    0                  270
                   1                    0     3.63407704856019   0.0953450838673168                    0                  270
                   1                    0     3.64627353160818    0.090795148237619                    0                  270
    1.00000000000003                    0     3.65854879474894   0.0864016727690636                    0                  270
                   1                    0     3.67089581740742   0.0821617525534674                    0                  270
                   1                    0      3.6833075790086    0.078072482682647                    0                  270
                   1                    0     3.69577705897743   0.0741309582484195                    0                  270
                   1                    0     3.70829723673887    0.070334274342602                    0                  270
                   1                    0     3.72086109171789    0.066679526057011                    0                  270
                   1                    0     3.73346160333945   0.0631638084834636                    0                  270
                   1                    0      3.7460917510285   0.0597842167137767                    0                  270
                   1                    0     3.75874451421002   0.0565378458397667                    0                  270
                   1                    0     3.77141287230897   0.0534217909532512                    0                  270
                   1                    0      3.7840898047503   0.0504331471460465                    0                  270
                   1                    0     3.79676829095898   0.0475690095099699                    0                  270
                   1                    0     3.80944131035997   0.0448264731368379                    0                  270
                   1                    0     3.82210184237823   0.0422026331184675                    0                  270
                   1                    0     3.83474286643873   0.0396945845466758                    0                  270
                   1                    0     3.84735736196642   0.0372994225132793                    0                  270
                   1                    0     3.85993830838627   0.0350142421100952                    0                  270
                   1                    0     3.87247868512325   0.0328361384289402                    0                  270
                   1                    0      3.8849714716023   0.0307622065616312                    0                  270
                   1                    0      3.8974096472484   0.0287895415999851                    0                  270
                   1                    0      3.9097861914865   0.0269152386358189                    0                  270
                   1                    0     3.92209408374157   0.0251363927609491                    0                  270
                   1                    0     3.93432630343858   0.0234500990671928                    0                  270
                   1                    0     3.94647583000247   0.0218534526463671                    0                  270
                   1                    0     3.95853564285822   0.0203435485902884                    0                  270
                   1                    0     3.97049872143078    0.018917481990774                    0                  270
                   1                    0     3.98235804514513   0.0175723479396406                    0                  270
                   1                    0     3.99410659342621   0.0163052415287049                    0                  270
                   1                    0     4.00573734569899   0.0151132578497842                    0                  270
                   1                    0     4.01724328138844   0.0139934919946949                    0                  270
                   1                    0     4.02861737991952   0.0129430390552544                    0                  270
                   1                    0     4.03985262071718   0.0119589941232791                    0                  270
                   1                    0     4.05094198320639   0.0110384522905859                    0                  270
                   1                    0     4.06187844681212   0.0101785086489922                    0                  270
                   1                    0     4.07265499095931  0.00937625829031408                    0                  270
                   1                    0     4.08326459507295  0.00862879630636915                    0                  270
                   1                    0     4.09370023857798  0.00793321778897382                    0                  270
                   1                    0     4.10395490089937  0.00728661782994511                    0                  270
                   1                    0     4.11402156146208      0.0066860915211                    0                  270
                   1                    0     4.12389319969108  0.00612873395425506                    0                  270
                   1                    0     4.13356279501132  0.00561164022122762                    0                  270
                   1                    0     4.14302332684777  0.00513190541383413                    0                  270
                   1                    0     4.15226777462539  0.00468662462389169                    0                  270
                   1                    0     4.16128911776914  0.00427289294321698                    0                  270
                   1                    0     4.17008033570399   0.0038878054636271                    0                  270
                   1                    0     4.17863440785489  0.00352845727693896                    0                  270
                   1                    0      4.1869443136468  0.00319194347496909                    0                  270
                   1                    0      4.1950030325047  0.00287535914953474                    0                  270
                   1                    0     4.20280354385354  0.00257579939245267                    0                  270
                   1                    0     4.21033882711828  0.00229035929553933                    0                  270
                   1                    0     4.21760186172389  0.00201613395061251                    0                  270
                   1                    0     4.22458562709532  0.00175021844948819                    0                  270
                   1                    0     4.23128310265755  0.00148970788398373                    0                  270
                   1                    0     4.23768726783552  0.00123169734591588                    0                  270
                   1                    0     4.24379110205421 0.000973281927101444                    0                  270
                   1                    0     4.24958758473858  0.00071155671935752                    0                  270
                   1                    0     4.25506969531358 0.000443616814500669                    0                  270
                   1                    0     4.26032868420323 0.000172899576758911                    0                  270
                   1                    0     4.26554210947161 -8.94117520946843e-05                    0                  270
                   1                    0     4.27071382452274 -0.000341655375753954                    0                  270
                   1                    0     4.27584379840306 -0.000582402267029889                    0                  270
                   1                    0     4.28093200015903 -0.000810223398733482                    0                  270
                   1                    0      4.2859783988371 -0.00102368974367572                    0                  270
                   1                    0     4.29098296348373 -0.00122137227466761                    0                  270
                   1                    0     4.29594566314536 -0.00140184196452013                    0                  270
                   1                    0     4.30086646686845 -0.00156366978604427                    0                  270
                   1                    0     4.30574534369944 -0.00170542671205103                    0                  270
                   1                    0     4.31058226268481  -0.0018256837153514                    0                  270
                   1                    0     4.31537719287099 -0.00192301176875638                    0                  270
                   1                    0     4.32013010330444 -0.00199598184507694                    0                  270
                   1                    0     4.32484096303161  -0.0020431649171241                    0                  270
                   1                    0     4.32950974109895 -0.00206313195770882                    0                  270
                   1                    0     4.33413640655293 -0.00205445393964212                    0                  270
                   1                    0     4.33872092843998 -0.00201570183573498                    0                  270
                   1                    0     4.34326327580656  -0.0019454466187984                    0                  270
                   1                    0     4.34776341769913 -0.00184225926164336                    0                  270
                   1                    0     4.35222132316414 -0.00170471073708086                    0                  270
                   1                    0     4.35663696124804 -0.00153137201792188                    0                  270
                   1                    0     4.36101030099728 -0.00132081407697743                    0                  270
                   1                    0     4.36534131145832 -0.00107160788705849                    0                  270
                   1                    0      4.3696299616776 -0.000782324420976059                    0                  270
                   1                    0     4.37387622070158 -0.000451534651541124                    0                  270
                   1                    0     4.37808005757672 -7.78095515646775e-05                    0                  270
                   1                    0     4.38224144134947 0.000340279906142288                    0                  270
                   1                    0     4.38636034106627 0.000804162748768779                    0                  270
                   1                    0     4.39043672577359  0.00131526800350381                    0                  270
                   1                    0     4.39447056451787  0.00187502469753637                    0                  270
                   1                    0     4.39846182634556  0.00248486185805549                    0                  270
                   1                    0     4.40241048030313  0.00314620851225017                    0                  270
                   1                    0     4.40631649543702  0.00386049368730942                    0                  270
                   1                    0     4.41017984079368  0.00462914641042224                    0                  270
                   1                    0     4.41400048541957  0.00545359570877764                    0                  270
                   1                    0     4.41777839836114  0.00633527060956463                    0                  270
                   1                    0     4.42151354866485  0.00727560013997223                    0                  270
                   1                    0     4.42520590537714  0.00827601332718942                    0                  270
                   1                    0     4.42885543754446  0.00933793919840524                    0                  270
                   1                    0     4.43246211421328   0.0104628067808087                    0                  270
                   1                    0     4.43602590443004   0.0116520451015887                    0                  270
                   1                    0      4.4395467772412   0.0129070831879345                    0                  270
                   1                    0      4.4430247016932   0.0142293500670348                    0                  270
                   1                    0     4.44645964683251   0.0156202747660788                    0                  270
                   1                    0     4.44985158170557   0.0170812863122555                    0                  270
                   1                    0     4.45320047535884   0.0186138137327538                    0                  270
                   1                    0     4.45650629683876   0.0202192860547629                    0                  270
                   1                    0      4.4597690151918   0.0218991323054716                    0                  270
                   1                    0      4.4629885994644    0.023654781512069                    0                  270
                   1                    0     4.46616501870302   0.0254876627017441                    0                  270
                   1                    0     4.46929824195411   0.0273992049016859                    0                  270
                   1                    0     4.47238823826413   0.0293908371390834                    0                  270
                   1                    0     4.47543497667951   0.0314639884411257                    0                  270
                   1                    0     4.47843842624673   0.0336200878350017                    0                  270
                   1                    0     4.48139855601223   0.0358605643479004                    0                  270
                   1                    0     4.48431533502245   0.0381868470070109                    0                  270
                   1                    0     4.48718873232387   0.0406003648395222                    0                  270
                   1                    0     4.49001871696292   0.0431025468726232                    0                  270
                   1                    0     4.49280525798607    0.045694822133503                    0                  270
