#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0     58.6082285019717     2.19995249500143                    0                    0                  270
                   0                    0    0.746357299366414                    0                    0                  270
    59.9976726504286     6.38190140898702    0.746357299366414                    0                    0                  270
    109.047969828107      6.6768935086587     8.92375181157589                    0      1.8809938331974                  270
    48.2337578624846     5.71639430166205     6.42490544712833                    0                    0                  270
                   1                    0     6.41699481827724                    0                    0                  270
                   1                    0     6.24603241737885                    0                    0                  270
                   1                    0     5.62893211424183                    0                    0                  270
                   1                    0     4.05755602279139                    0                    0                  270
                   1                    0      4.0480753683164                    0                    0                  270
                   1                    0     4.03945540462536                    0                    0                  270
                   1                    0     4.03167440345224                    0                    0                  270
                   1                    0     4.02471063653103                    0                    0                  270
                   1                    0     4.01854237559571                    0                    0                  270
                   1                    0     4.01314789238028                    0                    0                  270
                   1                    0     4.00850545861871                    0                    0                  270
                   1                    0       4.004593346045                    0                    0                  270
                   1                    0     4.00138982639311                    0                    0                  270
                   1                    0     3.99887317139705                    0                    0                  270
                   1                    0     3.99702165279079                    0                    0                  270
                   1                    0     3.99581354230831                    0                    0                  270
                   1                    0     3.99522711168362                    0                    0                  270
                   1                    0     3.99524063265068                    0                    0                  270
                   1                    0     3.99583237694348                    0                    0                  270
                   1                    0     3.99698061629601                    0                    0                  270
                   1                    0     3.99866362244225                    0                    0                  270
                   1                    0     4.00085966711619                    0                    0                  270
                   1                    0     4.00354702205181                    0                    0                  270
                   1                    0     4.00670395898309                    0                    0                  270
                   1                    0     4.01030874964403                    0                    0                  270
                   1                    0      4.0143396657686                    0                    0                  270
                   1                    0     4.01877497909079                    0                    0                  270
                   1                    0     4.02359296134459                    0                    0                  270
                   1                    0     4.02877188426398                    0                    0                  270
                   1                    0     4.03429001958294                    0                    0                  270
                   1                    0     4.04012563903546                    0                    0                  270
                   1                    0     4.04625701435553                    0                    0                  270
                   1                    0     4.05266241727712                    0                    0                  270
                   1                    0     4.05932011953423                    0                    0                  270
                   1                    0     4.06620839286083                    0                    0                  270
                   1                    0     4.07330550899092                    0                    0                  270
                   1                    0     4.08058973965848                    0                    0                  270
                   1                    0     4.08803935659748                    0                    0                  270
    1.00000000000003                    0     4.09563263154193                    0                    0                  270
                   1                    0     4.10334783622579                    0                    0                  270
                   1                    0     4.11116324238307                    0                    0                  270
                   1                    0     4.11905712174773                    0                    0                  270
                   1                    0     4.12700774605377                    0                    0                  270
                   1                    0     4.13499338703516                    0                    0                  270
                   1                    0     4.14299231642591                    0                    0                  270
                   1                    0     4.15098280595998                    0                    0                  270
                   1                    0     4.15894312737137                    0                    0                  270
                   1                    0     4.16685155239406                    0                    0                  270
                   1                    0     4.17468635276203                    0                    0                  270
                   1                    0     4.18242580020927                    0                    0                  270
                   1                    0     4.19004816646976                    0                    0                  270
                   1                    0     4.19753172327749                    0                    0                  270
                   1                    0     4.20485474236644                    0                    0                  270
                   1                    0      4.2119954954706                    0                    0                  270
                   1                    0     4.21893225432396                    0                    0                  270
                   1                    0     4.22564329066048                    0                    0                  270
                   1                    0     4.23210687621418                    0                    0                  270
                   1                    0     4.23830128271901                    0                    0                  270
                   1                    0     4.24420478190898                    0                    0                  270
                   1                    0     4.24979564551806                    0                    0                  270
                   1                    0     4.25505214528025                    0                    0                  270
                   1                    0     4.25995255292952                    0                    0                  270
                   1                    0     4.26447514019986                    0                    0                  270
                   1                    0     4.26859817882525                    0                    0                  270
                   1                    0     4.27229994053968                    0                    0                  270
                   1                    0     4.27555869707714                    0                    0                  270
                   1                    0      4.2783527201716                    0                    0                  270
                   1                    0     4.28066028155706                    0                    0                  270
                   1                    0     4.28245965296749                    0                    0                  270
                   1                    0     4.28372910613689                    0                    0                  270
                   1                    0     4.28444691279924                    0                    0                  270
                   1                    0     4.28459134468852                    0                    0                  270
                   1                    0     4.25807741049007                    0                    0                  270
                   1                    0     4.19024885438772                    0                    0                  270
                   1                    0     4.12899710254137                    0                    0                  270
                   1                    0     4.09962673935979                    0                    0                  270
                   1                    0      4.0800721469367                    0                    0                  270
                   1                    0     4.06791842225365                    0                    0                  270
                   1                    0     4.06140677922272                    0                    0                  270
                   1                    0     4.05877843175594                    0                    0                  270
                   1                    0     4.05827459376536                    0                    0                  270
                   1                    0      4.0581952504791                    0                    0                  270
                   1                    0     4.05804291648249                    0                    0                  270
   0.828022921757224                    0     4.05800356273715                    0                    0                  270
    241.592447040301     7.24502805963416     4.45914212587419                    0                    0                  270
                   0                    0                    0                    0                    0                  270
