#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0     55.7517543076649     2.23298143158519                    0                    0                  270
                   0                    0      0.8466284045656                    0                    0                  270
     58.561440625434     6.02874779039442      0.8466284045656                    0                    0                  270
    109.138893909644     7.15795404491848     8.96955453353655                    0     1.83511070729827                  270
    33.4159898543266      1.1040999181923     6.42922874092988                    0                    0                  270
                   1                    0     6.42916492638396                    0                    0                  270
                   1                    0     6.42896197505959                    0                    0                  270
                   1                    0      6.4284914125126                    0                    0                  270
                   1                    0     6.42755262084785                    0                    0                  270
                   1                    0     6.42594498217025                    0                    0                  270
                   1                    0     6.42346787858466                    0                    0                  270
                   1                    0     6.41992069219597                    0                    0                  270
                   1                    0     6.41510280510907                    0                    0                  270
                   1                    0     6.40881359942883                    0                    0                  270
                   1                    0     6.40085245726014                    0                    0                  270
                   1                    0     6.39101876070788                    0                    0                  270
                   1                    0     6.37911189187694                    0                    0                  270
                   1                    0     6.36493123287219                    0                    0                  270
                   1                    0     6.34827616579851                    0                    0                  270
                   1                    0      6.3289460727608                    0                    0                  270
                   1                    0     6.17537284805186                    0                    0                  270
                   1                    0     4.80852314166325                    0                    0                  270
                   1                    0     4.67171700573846                    0                    0                  270
                   1                    0     4.54373687647224                    0                    0                  270
                   1                    0     4.42565583957625                    0                    0                  270
                   1                    0     4.31854698076216                    0                    0                  270
                   1                    0     4.22348338574161                    0                    0                  270
                   1                    0     4.14153814022628                    0                    0                  270
                   1                    0     4.07378432992781                    0                    0                  270
                   1                    0     4.02129504055787                    0                    0                  270
                   1                    0     3.98514335782811                    0                    0                  270
                   1                    0     3.96640236745019                    0                    0                  270
                   1                    0     3.96614515513578                    0                    0                  270
                   1                    0     3.98544480659652                    0                    0                  270
                   1                    0     4.02537440754409                    0                    0                  270
                   1                    0     4.13900422184388                    0                    0                  270
                   1                    0     4.14797115906329                    0                    0                  270
                   1                    0     4.14831434252602                    0                    0                  270
                   1                    0     4.14863307478333                    0                    0                  270
                   1                    0     4.14892876595639                    0                    0                  270
                   1                    0     4.14920282616631                    0                    0                  270
                   1                    0     4.14945666553424                    0                    0                  270
                   1                    0     4.14969169418132                    0                    0                  270
                   1                    0     4.14990932222869                    0                    0                  270
                   1                    0     4.15011095979747                    0                    0                  270
                   1                    0     4.15029801700882                    0                    0                  270
                   1                    0     4.15047190398387                    0                    0                  270
                   1                    0     4.15063403084376                    0                    0                  270
                   1                    0     4.15078580770963                    0                    0                  270
                   1                    0     4.15092864470261                    0                    0                  270
                   1                    0     4.15106395194384                    0                    0                  270
                   1                    0     4.15119313955446                    0                    0                  270
                   1                    0     4.15131761765561                    0                    0                  270
                   1                    0     4.15143879636843                    0                    0                  270
                   1                    0     4.15155808581406                    0                    0                  270
                   1                    0     4.15167689611362                    0                    0                  270
                   1                    0     4.15179663738827                    0                    0                  270
                   1                    0     4.15191871975914                    0                    0                  270
                   1                    0     4.15204455334737                    0                    0                  270
   0.999999999999972                    0     4.15217554827409                    0                    0                  270
                   1                    0     4.15231311466045                    0                    0                  270
                   1                    0     4.15245866262758                    0                    0                  270
                   1                    0     4.15261360229663                    0                    0                  270
                   1                    0     4.15277934378872                    0                    0                  270
                   1                    0     4.15295729722499                    0                    0                  270
                   1                    0      4.1531488727266                    0                    0                  270
                   1                    0     4.15335548041467                    0                    0                  270
                   1                    0     4.15357853041033                    0                    0                  270
                   1                    0     4.15381943283474                    0                    0                  270
                   1                    0     4.15407959780903                    0                    0                  270
                   1                    0     4.15436043545433                    0                    0                  270
                   1                    0     4.15466335589179                    0                    0                  270
                   1                    0     4.15498976924254                    0                    0                  270
                   1                    0     4.15534108562772                    0                    0                  270
                   1                    0     4.15571871516847                    0                    0                  270
                   1                    0     4.15612406798593                    0                    0                  270
                   1                    0     4.15655855420123                    0                    0                  270
                   1                    0     4.15702358393552                    0                    0                  270
                   1                    0     4.15752056730993                    0                    0                  270
                   1                    0     4.15805091444559                    0                    0                  270
                   1                    0     4.15861603546366                    0                    0                  270
                   1                    0     4.15921734048526                    0                    0                  270
                   1                    0     4.15985623963154                    0                    0                  270
                   1                    0     4.16053414302363                    0                    0                  270
                   1                    0     4.16125246078266                    0                    0                  270
                   1                    0      5.1030579730746                    0                    0                  270
                   1                    0      5.1004496540612                    0                    0                  270
                   1                    0     4.39089572001384                    0                    0                  270
                   1                    0     4.04736228275655                    0                    0                  270
                   1                    0      3.9879812194328                    0                    0                  270
                   1                    0     3.99125136085655                    0                    0                  270
                   1                    0     4.04112914428203                    0                    0                  270
                   1                    0     4.12157100696348                    0                    0                  270
                   1                    0     4.21653338615511                    0                    0                  270
                   1                    0     4.30997271911116                    0                    0                  270
                   1                    0     4.38584544308584                    0                    0                  270
   0.881485733986722                    0     4.42682973649677                    0                    0                  270
    248.266169116204      7.5880514633724     4.43201798613602                    0                    0                  270
                   0                    0                    0                    0                    0                  270
