#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0     74.9451367958337                2.148                    0                    0                  270
                   0                    0     3.00238203221965                    0                    0                  270
    25.0170623590559     4.13242463170786     3.00238203221965                    0                    0                  270
    109.465151144217     8.62393878709837     9.34418578344208                    0     1.86205994317822                  270
    47.5942422459342     5.05613789721276     5.91451970041435                    0                    0                  270
                   1                    0     5.85192670200158                    0                    0                  270
                   1                    0     5.43222124727389                    0                    0                  270
                   1                    0     4.79990880995328                    0                    0                  270
                   1                    0     4.17109214357168                    0                    0                  270
                   1                    0       3.761874001661                    0                    0                  270
                   1                    0     3.69258171504833                    0                    0                  270
                   1                    0     3.66876401566669                    0                    0                  270
                   1                    0     3.64723592904027                    0                    0                  270
                   1                    0      3.6279374068275                    0                    0                  270
                   1                    0     3.61080840068678                    0                    0                  270
                   1                    0     3.59578886227652                    0                    0                  270
                   1                    0     3.58281874325515                    0                    0                  270
                   1                    0     3.57183799528105                    0                    0                  270
                   1                    0     3.56278657001266                    0                    0                  270
                   1                    0     3.55560441910838                    0                    0                  270
                   1                    0     3.55023149422662                    0                    0                  270
                   1                    0      3.5466077470258                    0                    0                  270
                   1                    0     3.54467312916432                    0                    0                  270
                   1                    0      3.5443675923006                    0                    0                  270
                   1                    0     3.54563108809304                    0                    0                  270
                   1                    0     3.54840356820006                    0                    0                  270
                   1                    0     3.55262498428007                    0                    0                  270
                   1                    0     3.55823528799149                    0                    0                  270
                   1                    0     3.56517443099271                    0                    0                  270
                   1                    0     3.57338236494217                    0                    0                  270
                   1                    0     3.58279904149825                    0                    0                  270
                   1                    0     3.59336441231939                    0                    0                  270
                   1                    0     3.60501842906398                    0                    0                  270
                   1                    0     3.61770104339044                    0                    0                  270
                   1                    0     3.63135220695719                    0                    0                  270
                   1                    0     3.64591187142262                    0                    0                  270
                   1                    0     3.66131998844517                    0                    0                  270
                   1                    0     3.67751650968322                    0                    0                  270
                   1                    0      3.6944413867952                    0                    0                  270
                   1                    0     3.71203457143953                    0                    0                  270
                   1                    0      3.7302360152746                    0                    0                  270
                   1                    0     3.74898566995883                    0                    0                  270
                   1                    0     3.76822348715063                    0                    0                  270
                   1                    0     3.78788941850842                    0                    0                  270
                   1                    0      3.8079234156906                    0                    0                  270
                   1                    0     3.82826543035559                    0                    0                  270
                   1                    0      3.8488554141618                    0                    0                  270
                   1                    0     3.86963331876763                    0                    0                  270
                   1                    0     3.89053909583151                    0                    0                  270
                   1                    0     3.91151269701184                    0                    0                  270
                   1                    0     3.93249407396703                    0                    0                  270
                   1                    0      3.9534231783555                    0                    0                  270
                   1                    0     3.97423996183565                    0                    0                  270
                   1                    0      3.9948843760659                    0                    0                  270
                   1                    0     4.01529637270466                    0                    0                  270
                   1                    0     4.03541590341034                    0                    0                  270
                   1                    0     4.05518291984135                    0                    0                  270
                   1                    0     4.07453737365611                    0                    0                  270
                   1                    0     4.09341921651301                    0                    0                  270
                   1                    0     4.11176840007049                    0                    0                  270
                   1                    0     4.12952487598694                    0                    0                  270
                   1                    0     4.14662859592078                    0                    0                  270
                   1                    0     4.16301951153042                    0                    0                  270
                   1                    0     4.17863757447427                    0                    0                  270
                   1                    0     4.19342273641074                    0                    0                  270
                   1                    0     4.20731494899825                    0                    0                  270
                   1                    0      4.2202541638952                    0                    0                  270
                   1                    0     4.23218033276001                    0                    0                  270
                   1                    0     4.24303340725109                    0                    0                  270
